iter	Passed	Remaining
401	18593	27658
402	18628	27595
403	18671	27544
404	18710	27488
405	18749	27430
406	18789	27375
407	18831	27324
408	18874	27273
409	18919	27225
410	18970	27186
411	19015	27138
412	19056	27085
413	19100	27035
414	19137	26976
415	19175	26919
416	19208	26855
417	19242	26791
418	19292	26751
419	19334	26700
420	19373	26644
421	19422	26602
422	19463	26548
423	19524	26523
424	19562	26467
425	19601	26411
426	19639	26355
427	19675	26294
428	19706	26229
429	19747	26177
430	19790	26127
431	19826	26068
432	19873	26023
433	19926	25987
434	19980	25951
435	20031	25912
436	20096	25891
437	20170	25881
438	20242	25868
439	20319	25860
440	20368	25818
441	20406	25761
442	20448	25710
443	20497	25668
444	20543	25622
445	20583	25568
446	20624	25515
447	20668	25466
448	20713	25419
449	20754	25366
450	20797	25316
451	20834	25259
452	20876	25208
453	20918	25158
454	20963	25109
455	21004	25057
456	21041	25001
457	21082	24949
458	21126	24900
459	21167	24848
460	21208	24797
461	21247	24742
462	21293	24696
463	21340	24651
464	21387	24607
465	21430	24558
466	21480	24516
467	21518	24461
468	21560	24410
469	21595	24351
470	21635	24299
471	21674	24245
472	21719	24198
473	21765	24152
474	21801	24096
475	21844	24047
476	21899	24010
477	21946	23966
478	21990	23918
479	22034	23870
480	22074	23818
481	22117	23769
482	22157	23717
483	22208	23676
484	22264	23641
485	22310	23596
486	22346	23539
487	22395	23496
488	22440	23450
489	22489	23407
490	22533	23359
491	22575	23310
492	22619	23261
493	22670	23220
494	22713	23171
495	22751	23118
496	22793	23068
497	22839	23022
498	22886	22978
499	22926	22926
500	22971	22879
501	23007	22824
502	23049	22774
503	23093	22727
504	23136	22678
505	23184	22634
506	23233	22592
507	23282	22549
508	23330	22505
509	23382	22465
510	23423	22414
511	23460	22360
512	23505	22314
513	23551	22268
514	23586	22212
515	23625	22160
516	23666	22110
517	23702	22055
518	23756	22017
519	23800	21969
520	23842	21920
521	23892	21878
522	23932	21827
523	23991	21793
524	24055	21764
525	24103	21720
526	24158	21682
527	24201	21634
528	24257	21597
529	24304	21553
530	24346	21503
531	24407	21471
532	24470	21440
533	24523	21400
534	24568	21354
535	24612	21306
536	24677	21276
537	24727	21234
538	24771	21187
539	24809	21133
540	24862	21094
541	24909	21048
542	24962	21009
543	25008	20962
544	25056	20918
545	25104	20874
546	25149	20827
547	25195	20781
548	25243	20737
549	25288	20690
550	25338	20647
551	25396	20612
552	25445	20568
553	25497	20526
554	25539	20477
555	25588	20433
556	25654	20403
557	25704	20360
558	25758	20320
559	25823	20289
560	25863	20239
561	25920	20201
562	25970	20157
563	26025	20118
564	26073	20074
565	26125	20032
566	26185	19996
567	26236	19954
568	26278	19904
569	26328	19861
570	26369	19811
571	26419	19768
572	26476	19730
573	26548	19703
574	26606	19665
575	26662	19626
576	26726	19593
577	26780	19552
578	26825	19505
579	26884	19468
580	26927	19419
581	26981	19378
582	27024	19329
583	27075	19286
584	27127	19244
585	27182	19204
586	27228	19157
587	27274	19110
588	27318	19062
589	27368	19018
590	27427	18981
591	27474	18935
592	27524	18891
593	27571	18845
594	27621	18801
595	27674	18759
596	27718	18710
597	27761	18662
598	27825	18627
599	27875	18583
600	27910	18529
601	27956	18482
602	28007	18439
603	28059	18396
604	28125	18362
605	28169	18314
606	28234	18280
607	28297	18244
608	28353	18203
609	28418	18169
610	28473	18128
611	28522	18082
612	28584	18045
613	28638	18004
614	28688	17959
615	28735	17913
616	28786	17869
617	28834	17823
618	28876	17773
619	28923	17727
620	28985	17689
621	29033	17644
622	29080	17597
623	29131	17553
624	29185	17511
625	29243	17471
626	29302	17431
627	29358	17390
628	29412	17348
629	29471	17308
630	29521	17263
631	29576	17221
632	29619	17172
633	29666	17126
634	29722	17084
635	29772	17039
636	29816	16991
637	29863	16944
638	29908	16896
639	29962	16853
640	30011	16808
641	30061	16763
642	30121	16723
643	30163	16674
644	30212	16628
645	30262	16583
646	30304	16533
647	30351	16487
648	30399	16441
649	30454	16398
650	30515	16359
651	30557	16309
652	30611	16266
653	30665	16223
654	30717	16179
655	30760	16130
656	30802	16081
657	30860	16039
658	30910	15994
659	30980	15959
660	31033	15915
661	31103	15880
662	31168	15842
663	31217	15796
664	31269	15752
665	31342	15718
666	31397	15675
667	31440	15626
668	31502	15586
669	31558	15543
670	31613	15500
671	31664	15455
672	31728	15416
673	31771	15367
674	31825	15323
675	31877	15278
676	31935	15236
677	31977	15187
678	32047	15150
679	32093	15102
680	32141	15056
681	32194	15011
682	32259	14972
683	32313	14928
684	32384	14892
685	32438	14847
686	32483	14799
687	32540	14756
688	32588	14709
689	32641	14665
690	32701	14623
691	32753	14578
692	32800	14530
693	32852	14485
694	32915	14444
695	32972	14401
696	33023	14355
697	33069	14307
698	33126	14264
699	33180	14220
700	33239	14177
701	33289	14131
702	33363	14095
703	33428	14054
704	33504	14019
705	33599	13991
706	33674	13955
707	33760	13923
708	33845	13891
709	33920	13854
710	34008	13823
711	34081	13785
712	34165	13752
713	34225	13709
714	34303	13673
715	34372	13633
716	34447	13596
717	34513	13555
718	34601	13522
719	34703	13495
720	34787	13461
721	34854	13420
722	34925	13380
723	35010	13346
724	35063	13299
725	35121	13255
726	35195	13216
727	35270	13178
728	35347	13140
729	35424	13102
730	35480	13056
731	35529	13007
732	35586	12962
733	35641	12916
734	35694	12869
735	35740	12820
736	35789	12771
737	35852	12727
738	35902	12679
739	35951	12631
740	36000	12583
741	36072	12542
742	36135	12499
743	36199	12455
744	36248	12407
745	36300	12359
746	36348	12310
747	36403	12264
748	36455	12216
749	36510	12170
750	36574	12126
751	36642	12084
752	36684	12033
753	36736	11985
754	36780	11935
755	36839	11889
756	36892	11842
757	36941	11793
758	36994	11746
759	37041	11697
760	37103	11652
761	37149	11602
762	37198	11554
763	37256	11508
764	37302	11459
765	37355	11411
766	37405	11362
767	37445	11311
768	37489	11261
769	37535	11212
770	37588	11164
771	37634	11114
772	37686	11067
773	37731	11017
774	37789	10971
775	37846	10924
776	37893	10875
777	37939	10825
778	37983	10775
779	38041	10729
780	38090	10681
781	38143	10633
782	38197	10585
783	38240	10535
784	38280	10484
785	38329	10435
786	38368	10384
787	38416	10335
788	38493	10294
789	38560	10250
790	38604	10200
791	38668	10155
792	38723	10108
793	38802	10067
794	38857	10019
795	38918	9973
796	38986	9930
797	39046	9883
798	39110	9838
799	39163	9790
800	39241	9749
801	39291	9700
802	39346	9652
803	39398	9604
804	39440	9553
805	39493	9505
806	39551	9459
807	39598	9409
808	39638	9358
809	39682	9308
810	39737	9260
811	39792	9213
812	39832	9161
813	39884	9113
814	39946	9067
815	40003	9020
816	40054	8971
817	40101	8922
818	40156	8874
819	40203	8825
820	40250	8775
821	40289	8724
822	40328	8673
823	40390	8627
824	40441	8578
825	40480	8527
826	40529	8478
827	40586	8430
828	40646	8384
829	40689	8334
830	40733	8283
831	40778	8234
832	40822	8184
833	40878	8136
834	40932	8088
835	40984	8039
836	41031	7990
837	41090	7943
838	41145	7895
839	41199	7847
840	41243	7797
841	41280	7746
842	41329	7697
843	41381	7648
844	41433	7600
845	41471	7549
