iter	MultiClass
0	1.051404249
1	1.013146533
2	0.9801711474
3	0.9508952154
4	0.9258418404
5	0.9053170462
6	0.8880046703
7	0.871074625
8	0.8572813646
9	0.8440479515
10	0.831886206
11	0.8206137735
12	0.8111105607
13	0.8008653889
14	0.7928633805
15	0.7844581779
16	0.7772337075
17	0.7703919184
18	0.763727337
19	0.7583302324
20	0.7518824179
21	0.7471508027
22	0.7415140693
23	0.7360996129
24	0.732065311
25	0.7275666489
26	0.7237486038
27	0.7194578814
28	0.7158863807
29	0.7121544208
30	0.7084221846
31	0.7047932462
32	0.7019904246
33	0.6989979308
34	0.6954240483
35	0.6925172922
36	0.6897939733
37	0.6872601838
38	0.6845728916
39	0.681879523
40	0.6797716687
41	0.6768659012
42	0.6746144407
43	0.6726510765
44	0.6707248736
45	0.6687904909
46	0.6663575574
47	0.6639463915
48	0.6621750678
49	0.6601627013
50	0.6578974908
51	0.6553925866
52	0.6529276182
53	0.6508515025
54	0.6485992512
55	0.6469127118
56	0.6453574857
57	0.6431232849
58	0.6413817563
59	0.640019827
60	0.638451671
61	0.6370611759
62	0.6354612011
63	0.633855578
64	0.6321846266
65	0.6305845631
66	0.6282975679
67	0.6268301529
68	0.6249671819
69	0.6230552372
70	0.6208598732
71	0.6196274576
72	0.6178131775
73	0.6161619354
74	0.6147832004
75	0.6136456369
76	0.6120549221
77	0.6103680489
78	0.6093501541
79	0.6082105575
80	0.6067902403
81	0.6050851541
82	0.6040320648
83	0.6026773562
84	0.6008983341
85	0.5993077911
86	0.5977620467
87	0.5965719419
88	0.5951893144
89	0.5940841137
90	0.5924931441
91	0.5914406198
92	0.5898920194
93	0.5886970963
94	0.5875136038
95	0.5865323574
96	0.5855401343
97	0.5839160263
98	0.5826909428
99	0.5814957996
100	0.5799090126
101	0.5790603915
102	0.5778418397
103	0.5763048277
104	0.575355912
105	0.574247501
106	0.5727031674
107	0.5713228399
108	0.5699267084
109	0.569037058
110	0.5677618313
111	0.5663287295
112	0.5649413912
113	0.5642537031
114	0.5628354612
115	0.5620620229
116	0.5607595612
117	0.5595178664
118	0.5583463315
119	0.5573970708
120	0.5562796815
121	0.5551007504
122	0.554221175
123	0.5531235103
124	0.5519185032
125	0.5508530201
126	0.5496901965
127	0.5487608267
128	0.5477310203
129	0.5465713296
130	0.5456527206
131	0.5447073603
132	0.5435563805
133	0.5426135944
